user_id,tweet,label,tweet_clf,tweet_ner
66378098,"[HARI PEREMPUAN INTERNASIONAL]

Hari Perempuan Internasional pertama kali dirayakan pada tanggal 28-02-1909 dan pada tahun 1977 diresmikan sebagai perayaan tahunan untuk memperjuangkan hak perempuan.

#HARIPEREMPUANINTERNASIONAL
#HUBUNGANLUAR
#NIRWASITA
#HIMASIKAITS
#ITSSURABAYA https://t.co/1YO0170GY4",0,hari perempuan internasional hari perempuan internasional pertama kali raya pada tanggal 28 02 1909 dan pada tahun 1977 resmi bagai raya tahun untuk juang hak perempuan,[HARI PEREMPUAN INTERNASIONAL] Hari Perempuan Internasional pertama kali dirayakan pada tanggal 28-02-1909 dan pada tahun 1977 diresmikan sebagai perayaan tahunan untuk memperjuangkan hak perempuan.
66378098,Himasika mengucapkan selamat hari raya idul Adha 1436 H @HIMADATA_ITS @HIMASTA_ITS @HIMABITS @HimkaITS @ITS_Surabaya http://t.co/iIDq8FVZzn,0,himasika ucap selamat hari raya idul adha 1436 h its its surabaya,Himasika mengucapkan selamat hari raya idul Adha 1436 H @HIMADATA_ITS @HIMASTA_ITS @HIMABITS @HimkaITS @ITS_Surabaya
66378098,"[COMING SOON]

Halo mahasiswa fisika!
Musyawarah Anggota Akbar akan segera dilaksanakan. Stay tuned untuk info selanjutnya!

#MAA
#NIRWASITA
#HIMASIKAITS
#ITSSURABAYA https://t.co/5mcqG2KrTE",0,coming soon halo mahasiswa fisika musyawarah anggota akbar akan segera laksana stay tuned untuk info lanjut,[COMING SOON] Halo mahasiswa fisika! Musyawarah Anggota Akbar akan segera dilaksanakan. Stay tuned untuk info selanjutnya!
66378098,"[PENDAFTARAN BMS 2018 DIBUKA]

Pendaftaran BMS 2018 Himasika ITS resmi dibuka. Segera cek infografis untuk cara dan ketentuan pendaftaran. Kami tunggu kehadiran kalian!!

#KsatriaMedfo
#HimasikaITS
#KSATRIA
#ITSSurabaya https://t.co/F3JXEkB8Xz",0,daftar bms 2018 buka daftar bms 2018 himasika its resmi buka segera cek infografis untuk cara dan tentu daftar kami tunggu hadir kalian,[PENDAFTARAN BMS 2018 DIBUKA] Pendaftaran BMS 2018 Himasika ITS resmi dibuka. Segera cek infografis untuk cara dan ketentuan pendaftaran. Kami tunggu kehadiran kalian!!
66378098,Persiapan hari ke 2 OKKBK Fisika ITS semangat adek2 2015 @ITS_Surabaya http://t.co/i9Kr9yOpHg,0,siap hari ke 2 okkbk fisika its semangat adek2 2015 surabaya,Persiapan hari ke 2 OKKBK Fisika ITS semangat adek2 2015 @ITS_Surabaya
66378098,"[ TOEFL TEST HIMASIKA ITS ] 

✅ Training TOEFL
📆 Sabtu, 13 April 2019
⏱ 08.30 - selesai
📍 J103

✅ TOEFL TEST
📆 Senin, 15 April 2018
⏱ 18.30 - selesai
📍 UPT Bahasa ITS

💸 Fee 60k
LIMITED SEAT !!!

#TOEFLHIMASIKA
#KESMA
#NIRWASITA
#HIMASIKAITS
#ITSSURABAYA https://t.co/OacrjAeH4Q",1,toefl test himasika its training toefl sabtu 13 april 2019 08 30 selesai j103 toefl test senin 15 april 2018 18 30 selesai upt bahasa its fee 60k limited seat,"[ TOEFL TEST HIMASIKA ITS ] ✅ Training TOEFL 📆 Sabtu, 13 April 2019 ⏱ 08.30 - selesai 📍 J103 ✅ TOEFL TEST 📆 Senin, 15 April 2018 ⏱ 18.30 - selesai 📍 UPT Bahasa ITS 💸 Fee 60k LIMITED SEAT !!!"
66378098,"[PHYSICSDAY]

Ayo Masyarakat Fisika berdiri dan bersuaralah untuk mendukung futsal fisika.

📆 : Senin, 18 Maret 2019
⏰ : 19.30
🏠 : Gor Pertamina ITS
👕 : Blackwolf/Hitam (Kerudung Hitam)
💵 : 5k

#REPOST
#DAGRI
#NIRWASITA
#HIMASIKAITS
#ITSSurabaya https://t.co/v4dCu5x8g2",1,physicsday ayo masyarakat fisika diri dan suara untuk dukung futsal fisika senin 18 maret 2019 19 30 gor pertamina its blackwolf hitam kerudung hitam 5k,"[PHYSICSDAY] Ayo Masyarakat Fisika berdiri dan bersuaralah untuk mendukung futsal fisika. 📆 : Senin, 18 Maret 2019 ⏰ : 19.30 🏠 : Gor Pertamina ITS 👕 : Blackwolf/Hitam (Kerudung Hitam) 💵 : 5k"
66378098,"[HARI RAYA NYEPI]

Kami segenap pengurus Himasika ITS mengucapkan Selamat Hari Raya Nyepi bagi yang merayakan. Semoga kedamaian selalu menyertai dimanapun kita berada.

#HARIRAYANYEPI
#HUBUNGANLUAR
#NIRWASITA
#HIMASIKAITS
#ITSSURABAYA https://t.co/vp9gOk2BCP",0,hari raya nyepi kami segenap urus himasika its ucap selamat hari raya nyepi bagi yang raya moga damai selalu serta mana kita ada,[HARI RAYA NYEPI] Kami segenap pengurus Himasika ITS mengucapkan Selamat Hari Raya Nyepi bagi yang merayakan. Semoga kedamaian selalu menyertai dimanapun kita berada.
66378098,Sebelum melanjutkan materi isi energi dulu #OKKBK2015 @ITS_Surabaya http://t.co/0KdAPNCHJR,0,belum lanjut materi isi energi dulu surabaya,Sebelum melanjutkan materi isi energi dulu @ITS_Surabaya
66378098,Roadshow LKMM-TM fisika. Alumni LKMM-TD yukk segera merapat https://t.co/RdnIWs31Ey,0,roadshow lkmm tm fisika alumni lkmm td yukk segera rapat,Roadshow LKMM-TM fisika. Alumni LKMM-TD yukk segera merapat
