tweet,user_id
Sedang berlangsung Forum Sistem HIMAD3KKIM FV-ITS 2018/2019 di ruang BB 302 Departemen Teknik Kimia Industri https://t.co/ae6pHLyrDi,727320212
"[CONGRATS!]
•
•
Selamat kami ucapkan kepada : 
1. Nanda Sherlina Putri (10411700000027) telah terpilih menjadi Pengajar Tangguh ITS MENGAJAR 2018. 
2. Maydina Intania Wulandari… https://t.co/n0AUkWAE7G",727320212
"[Live Report]

OKKBK 2018 Day 4
Sedang berlangsung di ruang BB 302 Teknik Kimia Industri https://t.co/iEzYM8Y0K0",727320212
"[Live Report]

OKKBK 2018 Day 3
Sedang berlangsung di ruang BB 302 Teknik Kimia Industri https://t.co/N83s3tR2Wf",727320212
"[Live Report]

OKKBK 2018 Day 2
Sedang berlangsung di ruang BB 302 Teknik Kimia Industri https://t.co/pKEdmTuMcC",727320212
"(2) ... Seperti kata M Hatta, ""Jatuh bangunnya negara ini, sangat tergantung dari bangsa ini sendiri. Makin pudar persatuan dan kepedulian, Indonesia hanyalah sekedar nama dan gambar seuntaian pulau di peta.""",727320212
"(3) ....
3. Foto ekpresif dengan nuansa hijau d3kkim (bukan background)
4. foto diupload di Line  dengan caption tentang ""aku untuk himad3kkim"" dan hastag (#AkuUntukHimad3kkim dan #IntegritasBerdedikasi)
5. mengisi form pendafataran di https://t.co/ZESnJHmtyy https://t.co/kpsLyoogDG",727320212
"(2) ... Timeline:
1. Pendafataran : 25-27 Juli 2018
2. Screening : 28-29 Juli 2018
3. Pengumuman Screening : 30 Juli 2018

Persyaratan:
1. Anggota penuh HIMA D3KKIM FV-ITS angkatan 2016 dan 2017
2. CV kreatif (menyertakan pengalaman organisasi dan kontribusi di ITS)",727320212
"[OPEN RECRUITMENT STAFF HIMA D3KKIM]

Pendaftaran staff HIMA D3KKIM telah dibuka. Ayo kobarkan semangat juangmu! Dan bersiaplah menjadi bagian dari INTERAKSI kami.

Catat tanggal pentingnya, dan lengkapi persyaratannya ... (1) https://t.co/YnWaSzZ27L",727320212
"[ 04 : 01 ]
.
Serah terima jabatan Ketua HIMA D3KKIM FV-ITS 2017/2018, Mahendra Aditya kepada Ketua HIMA D3KKIM FV-ITS 2018/2019, Wahyu Tri Amalia Provito Jam 04:01 WIB di Ruang BB-302… https://t.co/eHvJpT5ASk",727320212
"[IFC 2018]

Sedang berlangsung pertandingan futsal putra antara Teknik Kimia Industri vs Sistem Informasi di GOR Pertamina ITS. Ayo yang belum bergabung segera bergabung dukung dan hijaukan GOR Pertamina ITS.

#IFC2018
#AktualisasiPerubahan
#ITSSurabaya https://t.co/bB4WWkgB2R",727320212
"(3) ... di seluruh dunia. Semoga syafa'at Baginda Nabi Muhammad SAW selalu menyertai kita semua dan semoga bisa mendapatkan kesempurnaan iman dan Islam.

#IsraMiraj
#AktualisasiPerubahan
#ITSSurabaya https://t.co/KdIyWcvDBa",727320212
"(2) ... “Sebuah mimpi tidak menjadi kenyataan melalui sihir; dibutuhkan keringat, tekad, dan kerja keras” (coling powell) 

nb : diutamakan 2015

#AspenTraining
#AktualisasiPerubahan
#ITSSurabaya https://t.co/6SKE4ovX0c",727320212
"(4) ... berupa Nama, Departemen, No WA aktif, dan komitmen untuk mengikuti program ini sampai akhir. List terkumpul dalam satu departemen.
7. Pengumpulan format melalui CP tertulis atau kirim melalui email di niceowl17@gmail.com
8. Bagi yang mengikuti program ini akan segera kami",727320212
"(3) ... bagaimana cara membuat proposal bisnis yang baik. Untuk minggu selanjutnya, akan diumumkan pada kemudian hari.
5. Format proposal bisa dilihat di :
   (i. ) KBMI https://t.co/52au6tcmu7
   (ii.) WMM https://t.co/QS1VYre0Jb.
6. Peserta yang berminat harap memberikan data",727320212
"(2) ... berminat mengikuti lomba KBMI dan Wirausaha Muda Mandiri (WMM).
2. IEC akan dimulai Jumat, 13 April 2018 di Gedung SAC lantai 2.
3. Peserta IEC terdiri dari mahasiswa atau alumni yang akan mengikuti KBMI dan WMM.
4. Untuk minggu pertama dan kedua pertemuan akan membahas",727320212
"[IFC 2018]

Sedang berlangsung pertandingan futsal putra antara Teknik Kimia Industri vs Teknik Material di GOR Pertamina ITS. Ayo yang belum bergabung segera bergabung dukung dan hijaukan GOR Pertamina ITS.

#IFC2018
#AktualisasiPerubahan
#ITSSurabaya https://t.co/vCRH1OTDlA",727320212
"(2) ... Siapa tau kan kalian bisa menang dan dapet hadiah. Ayo buruan upload foto terbaikmu di instagram!

#D3kkimOnPhotograph
#AktualisasiPerubahan
#ITSSurabaya https://t.co/fAd9Dszrd5",727320212
"[D3kkim On Photograph Extended]

Halo warga d3kkim!
Ada kabar baik nih buat kalian. D3kkim On Photograph di perpanjang sampai besok! Kuy yang belum hunting foto. Mumpung besok libur, manfaatin sekalian buat jalan-jalan sambil ambil foto kenangan. ... (1)",727320212
"(2) ... Hari Air sedunia diperingati setiap tanggal 22 Maret, peringatan ini pertama kali diumumkan pada sidang umum PBB ke-47 pada tanggal 22 Desember 1992 di Rio de Janeiro, Brasil. Peringatan hari ini mulai pada tahun 1993 untuk memotivasi publik untuk memberikan",727320212
"(2) Hari Air sedunia diperingati setiap tanggal 22 Maret, peringatan ini pertama kali diumumkan pada sidang umum PBB ke-47 pada tanggal 22 Desember 1992 di Rio de Janeiro, Brasil.",727320212
"(3) ... Hingga saat ini pada tanggal 11 Maret di peringati sebagai Hari Surat Perintah Sebelas Maret (SUPERSEMAR)

#SuratPerintahSebelasMaret
#AktualisasiPerubahan
#ITSSurabaya
@BEM_ITS https://t.co/t2ghT9J3id",727320212
