user_id,tweet,label
66378098,"[HARI PEREMPUAN INTERNASIONAL]

Hari Perempuan Internasional pertama kali dirayakan pada tanggal 28-02-1909 dan pada tahun 1977 diresmikan sebagai perayaan tahunan untuk memperjuangkan hak perempuan.

#HARIPEREMPUANINTERNASIONAL
#HUBUNGANLUAR
#NIRWASITA
#HIMASIKAITS
#ITSSURABAYA https://t.co/1YO0170GY4",0
66378098,Himasika mengucapkan selamat hari raya idul Adha 1436 H @HIMADATA_ITS @HIMASTA_ITS @HIMABITS @HimkaITS @ITS_Surabaya http://t.co/iIDq8FVZzn,0
66378098,"[COMING SOON]

Halo mahasiswa fisika!
Musyawarah Anggota Akbar akan segera dilaksanakan. Stay tuned untuk info selanjutnya!

#MAA
#NIRWASITA
#HIMASIKAITS
#ITSSURABAYA https://t.co/5mcqG2KrTE",0
66378098,"[PENDAFTARAN BMS 2018 DIBUKA]

Pendaftaran BMS 2018 Himasika ITS resmi dibuka. Segera cek infografis untuk cara dan ketentuan pendaftaran. Kami tunggu kehadiran kalian!!

#KsatriaMedfo
#HimasikaITS
#KSATRIA
#ITSSurabaya https://t.co/F3JXEkB8Xz",0
66378098,Persiapan hari ke 2 OKKBK Fisika ITS semangat adek2 2015 @ITS_Surabaya http://t.co/i9Kr9yOpHg,0
66378098,"[ TOEFL TEST HIMASIKA ITS ] 

✅ Training TOEFL
📆 Sabtu, 13 April 2019
⏱ 08.30 - selesai
📍 J103

✅ TOEFL TEST
📆 Senin, 15 April 2018
⏱ 18.30 - selesai
📍 UPT Bahasa ITS

💸 Fee 60k
LIMITED SEAT !!!

#TOEFLHIMASIKA
#KESMA
#NIRWASITA
#HIMASIKAITS
#ITSSURABAYA https://t.co/OacrjAeH4Q",1
66378098,"[PHYSICSDAY]

Ayo Masyarakat Fisika berdiri dan bersuaralah untuk mendukung futsal fisika.

📆 : Senin, 18 Maret 2019
⏰ : 19.30
🏠 : Gor Pertamina ITS
👕 : Blackwolf/Hitam (Kerudung Hitam)
💵 : 5k

#REPOST
#DAGRI
#NIRWASITA
#HIMASIKAITS
#ITSSurabaya https://t.co/v4dCu5x8g2",1
66378098,"[HARI RAYA NYEPI]

Kami segenap pengurus Himasika ITS mengucapkan Selamat Hari Raya Nyepi bagi yang merayakan. Semoga kedamaian selalu menyertai dimanapun kita berada.

#HARIRAYANYEPI
#HUBUNGANLUAR
#NIRWASITA
#HIMASIKAITS
#ITSSURABAYA https://t.co/vp9gOk2BCP",0
66378098,Sebelum melanjutkan materi isi energi dulu #OKKBK2015 @ITS_Surabaya http://t.co/0KdAPNCHJR,0
66378098,Roadshow LKMM-TM fisika. Alumni LKMM-TD yukk segera merapat https://t.co/RdnIWs31Ey,0
66378098,Hey hey hey. Morning!!! Materi selanjutnya dari IO :D @ITS_Surabaya http://t.co/sA3mmt8hbT,0
66378098,Selamat hari batik nasional. #BanggaPakaiBatik @ITS_Surabaya @HIMADATA_ITS @HIMATEKTRO_ITS @HimkaITS @hmtc_its http://t.co/8AxiqNkDep,0
66378098,Selamat pagi kawan :) sudah siap mengawali hari dengan FRS online?,0
66378098,Sungguh luar biasa show off dari Fisika!! Kolaborasi modern dan tradisional di balut sempurna. @its_net https://t.co/6hyyij0u9a,0
66378098,Selamat hari listrik national. Hamatlah energi sebaik mungkin.. @BEM_ITS @ITS_Surabaya https://t.co/GJjmAbWqvT,0
66378098,"Selamat tahun baru hijriah 1437 H
Semoga bisa menjadi lebih baik di tahun yang baru ini. 
#SemangatBaru #HimasikaITS http://t.co/4SXKLGntu8",0
